"PLT_CN","SPCD","SEED.PRES","fire.sev","PREV_BAH","ECOSUBCD","mult.comp.coexist","MAT_ref_mean","MAT_maxanom","MAT_maxanom.z","MAT_maxanom_2050","MAT_maxanom_2050.z","MAT_maxanom_2080","MAT_maxanom_2080.z","CMD_ref_mean","CMD_maxanom","CMD_maxanom.z","CMD_maxanom_2050","CMD_maxanom_2050.z","CMD_maxanom_2080","CMD_maxanom_2080.z"
238861239489998,93,0,1,11.96095673,"M242Dd","replacement",2.14838709677419,1.45161290322581,1.8731180714954,2.75161290322581,3.55059936663462,4.65161290322581,6.00230279799194,256.032258064516,48.9677419354838,0.642824712338086,84.9677419354838,1.11541521231786,131.967741935484,1.73240836506924
238861319489998,19,1,0,5.051343236,"M242Dg","replacement",4.95806451612903,1.34193548387097,1.96330700520406,2.54193548387097,3.71895653870384,4.34193548387097,6.35243083895351,400.935483870968,54.0645161290323,1.08264902657882,89.0645161290323,1.7835286171743,141.064516129032,2.82483543748759
238861319489998,93,1,0,5.051343236,"M242Dg","replacement",4.95806451612903,1.34193548387097,1.96330700520406,2.54193548387097,3.71895653870384,4.34193548387097,6.35243083895351,400.935483870968,54.0645161290323,1.08264902657882,89.0645161290323,1.7835286171743,141.064516129032,2.82483543748759
238861320489998,19,1,0,7.234781439,"M333Ag","reassembly",4.82258064516129,1.27741935483871,1.64849148100108,2.77741935483871,3.58422011399478,4.67741935483871,6.03614304912013,430.032258064516,86.9677419354838,1.11837397249744,134.967741935484,1.73563675850493,193.967741935484,2.49435559963913
238861320489998,93,1,0,7.234781439,"M333Ag","reassembly",4.82258064516129,1.27741935483871,1.64849148100108,2.77741935483871,3.58422011399478,4.67741935483871,6.03614304912013,430.032258064516,86.9677419354838,1.11837397249744,134.967741935484,1.73563675850493,193.967741935484,2.49435559963913
238861327489998,19,1,0,8.955841794,"M242Dg","replacement",3.66774193548387,1.43225806451613,2.0317766763117,2.73225806451613,3.87593433521624,4.53225806451613,6.42938340139175,337.645161290323,50.3548387096774,0.880114639574632,97.3548387096774,1.70159255748638,140.354838709677,2.45315746110777
238861327489998,93,1,0,8.955841794,"M242Dg","replacement",3.66774193548387,1.43225806451613,2.0317766763117,2.73225806451613,3.87593433521624,4.53225806451613,6.42938340139175,337.645161290323,50.3548387096774,0.880114639574632,97.3548387096774,1.70159255748638,140.354838709677,2.45315746110777
238861377489998,19,1,0,15.0946006,"M333Ag","reassembly",4.90645161290323,1.29354838709677,1.64908346280753,2.79354838709677,3.56136229125017,4.69354838709677,5.98358214061085,407.548387096774,100.451612903226,1.25822428947791,122.451612903226,1.53378914671104,178.451612903226,2.23522696512262
238861377489998,93,1,0,15.0946006,"M333Ag","reassembly",4.90645161290323,1.29354838709677,1.64908346280753,2.79354838709677,3.56136229125017,4.69354838709677,5.98358214061085,407.548387096774,100.451612903226,1.25822428947791,122.451612903226,1.53378914671104,178.451612903226,2.23522696512262
238861384489998,19,1,0,1.788405612,"M242Db","replacement",1.53225806451613,1.56774193548387,2.19903649168947,2.56774193548387,3.60171408926917,4.46774193548387,6.26680152467061,160.967741935484,43.0322580645161,0.719999835054643,73.0322580645161,1.22194874555001,115.032258064516,1.92467722024352
238861384489998,93,0,0,1.788405612,"M242Db","replacement",1.53225806451613,1.56774193548387,2.19903649168947,2.56774193548387,3.60171408926917,4.46774193548387,6.26680152467061,160.967741935484,43.0322580645161,0.719999835054643,73.0322580645161,1.22194874555001,115.032258064516,1.92467722024352
238861482489998,19,1,0,6.206405058,"M332Gl","restructuring",4.29354838709677,1.40645161290323,2.02591236010021,2.80645161290323,4.04253154423665,4.60645161290323,6.63532763812637,372.064516129032,94.9354838709677,1.28023445396957,95.9354838709677,1.29371976422205,149.935483870968,2.02192651785612
